Anger_Index ,Anger_Middle,Anger_Ring
204.15,202.09,201.18
204.08,202.05,201.37
204.08,201.98,201.41
204.1,201.87,201.42
204.13,201.71,201.37
204.18,201.67,201.4
204.28,201.65,201.4
204.39,201.7,201.51
204.43,201.67,201.54
204.45,201.66,201.51
204.47,201.64,201.5
204.49,201.53,201.43
204.48,201.5,201.38
204.48,201.48,201.33
204.45,201.41,201.3
204.52,201.38,201.28
204.56,201.33,201.25
204.55,201.33,201.21
204.62,201.3,201.13
204.62,201.27,201.09
204.62,201.24,201.06
204.55,201.25,201.08
204.63,201.26,201
204.68,201.25,200.95
204.68,201.23,200.87
204.69,201.22,200.86
204.71,201.25,200.91
204.7,201.22,200.91
204.75,201.26,200.96
204.83,201.25,200.95
204.8,201.25,200.95
204.83,201.23,200.94
204.84,201.21,200.89
204.9,201.17,200.93
204.87,201.15,200.88
204.92,201.14,200.9
204.87,201.12,200.91
204.87,201.15,200.85
204.92,201.13,200.84
204.88,201.09,200.83
204.9,201.06,200.77
204.94,200.99,200.72
204.99,200.99,200.69
205.02,200.97,200.65
205.01,200.95,200.63
205,200.96,200.58
204.97,200.96,200.52
204.92,200.92,200.52
204.89,200.92,200.49
204.89,200.91,200.53
204.83,200.9,200.52
204.77,200.92,200.55
204.61,200.93,200.55
204.37,200.96,200.54
204.11,200.99,200.64
203.86,201,200.65
203.64,201.01,200.68
203.46,201.05,200.68
203.33,201.07,200.63
203.26,201.1,200.61
203.18,201.07,200.58
203.03,201.1,200.61
202.91,201.15,200.54
202.72,201.12,200.54
202.55,201.19,200.61
202.4,201.29,200.6
202.23,201.37,200.66
202.14,201.41,200.68
202.11,201.46,200.7
202.08,201.45,200.74
202.02,201.44,200.74
202.02,201.44,200.78
202.01,201.44,200.83
201.97,201.48,200.92
201.97,201.55,200.96
202.03,201.62,201.09
202.02,201.69,201.23
202.06,201.71,201.35
202.06,201.78,201.41
202.09,201.86,201.49
202.15,201.89,201.53
202.2,201.86,201.56
202.25,201.89,201.61
202.29,201.89,201.64
202.33,201.94,201.69
202.11,201.71,201.44
201.73,201.27,201.08
201.77,201.18,200.85
201.83,201.19,200.8
202.12,201.18,200.76
202.48,201.14,200.74
202.79,201.03,200.72
202.81,200.87,200.53
202.64,200.61,200.12
202.66,200.41,199.94
202.83,200.39,199.73
203.22,200.48,199.73
203.63,200.6,199.86
203.77,200.69,199.84
203.85,200.69,199.79
203.81,200.61,199.61
