Anger_Index ,Anger_Middle,Anger_Ring
160.09,172.52,164.73
159.97,172.8,164.88
159.69,172.74,164.75
159.48,172.55,164.62
159.21,172.4,164.4
158.97,172.29,164.14
158.65,172.07,163.92
158.32,171.8,163.63
157.97,171.59,163.37
157.67,171.47,163.21
157.49,171.42,163.16
157.42,171.44,163.16
157.47,171.55,163.22
157.37,171.7,163.38
157.44,171.92,163.61
157.48,172.19,163.88
157.53,172.44,164.23
157.71,172.62,164.58
157.71,172.62,164.58
157.92,173.23,165.29
158.12,173.54,165.73
158.31,173.84,166.11
158.51,174.15,166.46
158.74,174.38,166.84
158.88,174.74,167.3
159.12,175.06,167.82
159.39,175.45,168.35
159.66,175.89,168.92
159.9,176.23,169.4
160.19,176.68,169.97
160.56,177.08,170.59
160.13,176.98,170.42
159.57,176.7,170.07
159.01,176.42,169.73
158.53,176.22,169.48
158.17,176.04,169.19
157.69,175.84,168.94
157.46,175.64,168.7
157.09,175.38,168.32
156.73,175.12,168.07
156.35,174.93,167.8
156.15,174.86,167.74
156.13,174.97,167.72
156.13,174.97,167.72
156.27,175.23,168.09
156.43,175.45,168.37
156.7,175.65,168.72
157.04,175.81,169.07
157.43,175.96,169.41
157.83,176.12,169.73
158.07,176.34,169.96
158.39,176.57,170.27
158.73,176.83,170.61
159.07,177.09,171.12
159.61,177.26,171.51
160.17,177.48,171.79
159.82,177.12,171.19
159.72,176.92,170.81
159.5,176.64,170.5
159.5,176.64,170.5
159.19,176.33,170.1
158.5,175.42,168.93
157.99,174.88,168.16
157.79,174.51,167.68
157.74,174.35,167.51
157.72,174.43,167.6
157.85,174.48,167.69
157.85,174.48,167.69
157.8,174.62,167.91
157.91,174.81,168.04
158.08,175.07,168.43
158.27,175.59,169
158.63,176.16,169.78
158.99,176.89,170.78
158.65,177,170.99
158.65,177,170.99
158,176.78,170.6
157.4,176.56,170.22
156.52,175.95,169.29
155.83,175.41,168.56
155.12,174.7,167.8
154.48,174.28,167.29
153.96,174.06,167.06
153.96,174.06,167.06
153.65,173.89,166.85
153.38,173.66,166.59
153.17,173.49,166.44
153.04,173.36,166.32
152.97,173.35,166.32
153.02,173.46,166.46
153.13,173.58,166.6
153.13,173.58,166.6
153.44,173.85,166.95
153.89,174.27,167.3
154.35,174.74,167.78
154.97,175.22,168.52
156.01,176.24,169.69
156.57,176.76,170.39
157.17,177.33,171.2
157.17,177.33,171.2
158.09,177.93,172.13
159.03,178.53,173.09
157.91,176.98,170.69
157.45,176.7,170.04
156.88,176.35,169.46
156.05,175.6,168.62
155.04,174.59,167.37
155.04,174.59,167.37
154.27,173.53,166.2
153.65,172.78,165.4
153.38,172.34,164.96
153.18,172.21,164.86
152.99,172.17,164.76
152.67,171.86,164.5
152.57,171.77,164.35
152.57,171.77,164.35
152.59,171.84,164.38
152.72,172.06,164.53
152.92,172.35,164.81
153.17,172.64,165.13
153.72,173.32,165.88
154.19,173.66,166.21
154.71,174.08,166.72
154.71,174.08,166.72
155.21,174.49,167.16
155,173.63,166.51
152.38,169.87,162.64
140.95,156.97,150.94
120.56,135.66,132.4
95.47,109.61,112.75
50.43,60.53,76.52
50.43,60.53,76.52
33.44,43.11,60.31
24.36,34.15,49.15
18.04,27.54,42.11
13.54,22.36,36.71
10.07,18.99,32.4
4.88,14.8,26.01
3.12,13.17,24.33
3.12,13.17,24.33
1.63,11.6,22.88
0.52,10.44,21.44
-0.63,9.42,20.47
-1.51,8.76,19.74
-2.08,8.26,19.08
-2.33,7.84,18.44
-2.59,7.36,17.91
-2.75,7.09,17.55
-2.78,6.97,17.22
-2.92,6.92,16.96
-2.95,6.86,16.76
-3.05,6.85,16.61
-3.15,6.77,16.49
