Index finger,Middle finger,Ring  finger
162.87,165.53,172.46
162.83,165.47,172.43
162.86,165.48,172.42
162.8,165.46,172.42
162.83,165.49,172.43
162.91,165.51,172.48
162.92,165.53,172.52
162.95,165.55,172.51
162.87,165.57,172.54
162.95,165.6,172.56
162.91,165.55,172.55
162.9,165.56,172.54
162.87,165.54,172.5
162.93,165.56,172.52
162.93,165.58,172.55
162.94,165.59,172.58
162.99,165.61,172.59
162.96,165.57,172.58
162.91,165.55,172.53
162.92,165.5,172.49
162.9,165.53,172.47
162.86,165.51,172.5
162.88,165.44,172.45
162.91,165.4,172.46
162.85,165.36,172.43
162.83,165.33,172.35
162.79,165.27,172.3
162.77,165.22,172.29
162.87,165.18,172.19
162.82,165.11,172.05
